term,estimate,se,t value,Pr(>|t|),conf_low,conf_high,l,pvalue
et_neg4,0.014815982813711588,0.04068984917910102,0.36411987541407065,0.715843519327773,-0.06502884655630016,0.09466081218372334,-4,
et_neg3,0.009032707195659254,0.037098434365210056,0.24347947157926134,0.8076826579168699,-0.06376476493913966,0.08183017933045816,-3,
et_neg2,-0.002334238220572243,0.03943717622286546,-0.059188776787189555,0.9528132747557843,-0.07972097397596258,0.07505249753481809,-2,
et_neg1,0.0,0.0,,,0.0,0.0,-1,1.0
et_0,-0.04963707906298039,0.03985693159804605,-1.24538134454419,0.2132759473919137,-0.12784749190208067,0.02857333377611989,0,
et_1,0.016699915891343866,0.04735995849222182,0.3526167763446537,0.7244481814704136,-0.07623352773332565,0.10963335951601338,1,
et_2,-0.012679833427120736,0.04931032992638885,-0.2571435528022094,0.7971195160047475,-0.10944044961474966,0.08408078276050818,2,
et_3,-0.021005637615542534,0.06373549243420766,-0.32957519920672235,0.7417882353231082,-0.14607244471584394,0.10406116948475888,3,
et_4,-0.11027752182600067,0.07811727049853676,-1.4116919488126038,0.1583438741418859,-0.2635653874642513,0.04301034381224994,4,
