threshold,label,outcome,coef_name,event_time,beta,se_cr2,p_satt,stars
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,year::2015:treated,0,0.5675008528028915,0.8216373934990396,0.6136100408001345,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,year::2016:treated,1,0.4275324839912002,0.5645044137490931,0.5855928379989844,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,year::2017:treated,2,0.4130002845071437,0.8153498103577289,0.7003488188427456,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,year::2018:treated,3,0.3913017962801458,0.7997045296684756,0.70917503780852,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,year::2019:treated,4,0.0903567576446736,0.6689825893912494,0.9142392095335651,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,year::2015:treated,0,0.3563420645872046,1.0274272494350427,0.7867084444274208,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,year::2016:treated,1,0.5631218057189356,0.5635664761069465,0.49798903420440577,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,year::2017:treated,2,0.3457667608675555,0.9684781678610631,0.780893856406265,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,year::2018:treated,3,0.32068046215815305,0.9777822717435242,0.7975150988765829,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,year::2019:treated,4,0.11084117946853043,0.837359131650346,0.9159313167941223,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,year::2015:treated,0,0.24769303971971415,0.49274124572979033,0.7028923602854614,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,year::2016:treated,1,-0.2742051374847313,0.061177740210124724,0.13814574355681872,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,year::2017:treated,2,-0.2904045077348467,0.07355671607958646,0.15627025964272037,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,year::2018:treated,3,0.2506735466889917,0.5299506049027267,0.7181791645238521,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,year::2019:treated,4,0.2746189403926807,0.5512985651639922,0.7052101211197881,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,year::2015:treated,0,0.5211310147198747,0.4395053780271822,0.4447366866265238,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,year::2016:treated,1,-0.37759586560752456,0.5248290830699222,0.6021253424807137,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,year::2017:treated,2,0.09309971484358134,0.09266764951009482,0.49737815393727974,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,year::2018:treated,3,0.5992276833208738,0.5380494693422267,0.4645290377823341,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,year::2019:treated,4,0.24697249853995615,0.4923617858688689,0.7034349296513407,
