threshold,label,outcome,spec,beta,se,pvalue,n_treated,stars
T1_moderate_1k,"T1 ≥1,000 ac",pct_depression,dose_response,1.1802361949528561,0.4957756585551282,0.019896579819879114,79,*
T1_moderate_1k,"T1 ≥1,000 ac",pct_depression,binary_treatment,2.7579104734657336,0.9438109944498381,0.004465393987227786,79,**
T1_moderate_1k,"T1 ≥1,000 ac",pct_poor_mh_days,dose_response,0.1975603202647578,0.2690307620523111,0.4650932150297947,79,
T1_moderate_1k,"T1 ≥1,000 ac",pct_poor_mh_days,binary_treatment,1.6337373731642175,0.5052830468886889,0.0017496382997959495,79,**
T2_large_5k,"T2 ≥5,000 ac",pct_depression,dose_response,1.1165319423860502,0.5859975855821492,0.06497586976058961,41,.
T2_large_5k,"T2 ≥5,000 ac",pct_depression,binary_treatment,0.5456312183436305,0.7837857426374798,0.48911627562826576,41,
T2_large_5k,"T2 ≥5,000 ac",pct_poor_mh_days,dose_response,0.17860971637145726,0.2717424091830085,0.5153029586236868,41,
T2_large_5k,"T2 ≥5,000 ac",pct_poor_mh_days,binary_treatment,0.2685731771567963,0.35473607238760285,0.4520505497060343,41,
T3_verylarge_25k,"T3 ≥25,000 ac",pct_depression,dose_response,1.7857083990813154,1.0337476845034117,0.11479301604157964,16,
T3_verylarge_25k,"T3 ≥25,000 ac",pct_depression,binary_treatment,1.3498504704178504,1.1475323168364926,0.2510084301535322,16,
T3_verylarge_25k,"T3 ≥25,000 ac",pct_poor_mh_days,dose_response,0.07437548961702974,0.5145244552695402,0.8879364718729663,16,
T3_verylarge_25k,"T3 ≥25,000 ac",pct_poor_mh_days,binary_treatment,0.5795119090279135,0.41044726250760083,0.17081329889243482,16,
