threshold,label,outcome,year,beta_dose,se_dose,pvalue,stars
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,2015,-0.03005870422365976,0.13002075276603048,0.8177773012548315,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,2016,-0.11864273706454889,0.0687489703700305,0.08835414029569767,.
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,2017,-0.005929113377468215,0.07762728734330661,0.9393129571589542,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,2018,0.25042884298489854,0.21175004538460337,0.24053542637128864,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,2019,0.07517402968070792,0.11170255440635171,0.5029465368684316,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,2015,0.2002053002214481,0.1417307030776543,0.1617583134582482,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,2016,0.012296862717532367,0.11823276891624065,0.9174319179828836,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,2017,0.10070689653925771,0.1024381749249287,0.3285982197224251,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,2018,0.40241290969700216,0.2181775513979691,0.06891737410446157,.
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,2019,0.11030477697322183,0.12653153608950463,0.38601631068537434,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,2015,0.09919563284218316,0.10686412540781039,0.35885045130169235,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,2016,-0.018030557502706095,0.03923742854346116,0.6483454198664524,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,2017,-0.221443118322397,0.1331823197773206,0.10418887650040178,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,2018,0.18313780403789678,0.29188603098955823,0.5339434690758319,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,2019,-0.1240282340729056,0.16215432841388713,0.4488336723408921,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,2015,0.14062581395377996,0.17876594178980496,0.4361241230569026,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,2016,0.039880157111256816,0.13099554892435056,0.762371739669178,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,2017,-0.029402911932070085,0.17401796811522646,0.8666758824329392,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,2018,0.41419499365263873,0.3109378250459516,0.19037325940135494,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,2019,-0.0696087450181411,0.14787552922482228,0.6403938873426209,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,2015,0.062991558549879,0.08129556043183211,0.45047309633407484,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,2016,0.02548505304666629,0.05776438568264339,0.6653686204732641,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,2017,0.10912299102768273,0.0697742836577378,0.13867948543157044,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,2018,0.6277387305207025,0.5546399847327731,0.27549051704715405,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,2019,0.014026139020963238,0.12436598402185521,0.9116995805981956,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,2015,0.026458625391654,0.11360244050415176,0.8189830499694737,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,2016,-0.03234452594401697,0.20106064507327606,0.8743427616430012,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,2017,-0.07311174029459058,0.09488777868293828,0.45296464709556894,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,2018,0.6127004858935822,0.5757213618282582,0.30405671065064993,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,2019,0.0030543816435382176,0.12105186598760055,0.9802025244952162,
