Variable,panel_header,T_mean,T_sd,T_n,C_mean,C_sd,C_n,Diff,p_value,fmt
Panel A: County Characteristics (Pre-Treatment),True,,,,,,,,,
WHP national rank (0–1),,0.8627654320987652,0.16120439445041024,81.0,0.8760000000000002,0.10022792207581857,12.0,-0.013234567901235006,0.7013188494717975,.3f
Rural-urban continuum code (1–9),,4.45679012345679,2.109794911336463,81.0,4.25,2.7675062617979584,12.0,0.20679012345679038,0.807740463315139,.1f
Share of buildings in direct exposure zone,,0.47743209876543213,0.2009686504328228,81.0,0.40225,0.2581705303230265,12.0,0.07518209876543214,0.3514423119081067,.3f
"Population, 2014 (thousands)",,46.87981481481481,51.10564345090566,54.0,49.885799999999996,56.617719348274704,5.0,-3.005985185185189,0.9136604754534221,.1f
"Median household income, 2014 ($k)",,44.544314814814804,8.803526900064186,54.0,48.168200000000006,7.308107771509668,5.0,-3.623885185185202,0.3443140301311036,.1f
Mental health HPSA (0/1),,0.0,0.0,79.0,0.0,0.0,11.0,0.0,,.2f
Panel B: Pre-Treatment Outcomes (2011–2014 means),True,,,,,,,,,
"Suicide rate (per 100,000)",,9.205506602601544,10.435112177592531,81.0,13.556089828460259,10.414082800351393,12.0,-4.350583225858715,0.1976846064024275,.1f
"Overdose rate (per 100,000)",,11.331201594359822,14.796287265530735,81.0,17.682696340269455,16.979640592612366,12.0,-6.351494745909633,0.24009534515186337,.1f
Unemployment rate (%),,8.868987341772153,2.7149403095561975,79.0,8.570454545454545,3.2966615344507653,11.0,0.2985327963176072,0.7789545713634227,.1f
Panel C: Post-Treatment Outcomes (2019),True,,,,,,,,,
Depression prevalence (%),,21.239240506329114,3.6478450864515146,79.0,18.027272727272727,2.4137484993639706,11.0,3.211967779056387,0.001281833699375778,.1f
Poor mental health days (pct 14+),,15.100000000000001,1.9621416870348587,79.0,13.218181818181819,1.375367719425014,11.0,1.8818181818181827,0.0009861992917777425,.1f
