term,l,estimate,se,conf_low,conf_high,pvalue,estimator,outcome
year::-8,-8,0.46028994194536843,0.44995751613526325,-0.42265216338017775,1.3432320472709147,0.3065664170254337,SunAbraham2021,suicide
year::-7,-7,-0.2731962724060067,0.28145989540609334,-0.82549906478753865,0.2791065199755252,0.3319562722259787,SunAbraham2021,suicide
year::-6,-6,-0.1175849346390837,0.18646177974792977,-0.48347493640514805,0.24830506712698064,0.5284350395066957,SunAbraham2021,suicide
year::-5,-5,-0.13969356815741388,0.12828031988505642,-0.3914153233221782,0.11202818700735048,0.27642231959717606,SunAbraham2021,suicide
year::-4,-4,-0.07370371461732468,0.10915090466372822,-0.28788822338994596,0.14048079415529657,0.4996716132684309,SunAbraham2021,suicide
year::-3,-3,-0.04802667062615655,0.10443188004926601,-0.2529511373308867,0.15689779607857363,0.6456960960762677,SunAbraham2021,suicide
year::-2,-2,-0.0904104382590849,0.10194084923448885,-0.29044680794763145,0.10962593142946164,0.3753453382175378,SunAbraham2021,suicide
ref,-1,0,0,0,0,1,SunAbraham2021,suicide
year::0,0,-0.15109265666895583,0.0897323114429092,-0.3271724711848505,0.024987157846938862,0.09252151224650727,SunAbraham2021,suicide
year::1,1,0.08287338425907723,0.13832143276802267,-0.18855183407893597,0.35429860259709045,0.5492142967335301,SunAbraham2021,suicide
year::2,2,-0.06971095649318254,0.14272730893578672,-0.34978173233356186,0.21035981934719677,0.6253563302388934,SunAbraham2021,suicide
year::3,3,-0.08714308720662978,0.16854319621193933,-0.4178718319553471,0.24358565754208755,0.6052416896169115,SunAbraham2021,suicide
year::4,4,-0.28739360648856177,0.2275869795186829,-0.7339827168713756,0.15919550389425208,0.20695308497401396,SunAbraham2021,suicide
